Month,Day,Hour,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
January,1,0,13.225006,18.162506,15.475006,19.350006,15.225006,12.019012,17.600006,14.037506,13.350006,13.287506,12.475006,14.662506,13.725006,20.537506,14.475006,16.725006,11.350006,19.850006,12.600006,18.225006,12.162506,16.662506,11.350006,17.162506
January,1,1,12.850006,17.350006,15.725006,18.600006,14.475006,12.048553,16.475006,13.350006,13.912506,13.600006,11.975006,14.850006,12.975006,19.725006,13.725006,15.912506,11.412506,18.787506,11.600006,16.412506,11.600006,15.287506,10.975006,16.037506
January,1,2,12.412506,16.725006,15.725006,17.912506,14.850006,12.234039,17.412506,13.287506,12.787506,13.600006,11.600006,14.537506,13.225006,18.162506,13.787506,14.287506,9.412506,15.912506,10.975006,14.975006,10.412506,13.787506,10.600006,14.850006
January,1,3,11.287506,15.037506,14.225006,15.412506,11.975006,10.198364,12.975006,11.850006,10.412506,10.037506,10.912506,13.350006,10.975006,16.037506,12.412506,12.162506,7.975006,14.225006,10.287506,14.162506,8.850006,12.225006,9.600006,13.912506
January,1,4,11.287506,14.787506,13.787506,15.662506,11.850006,10.05722,12.975006,11.912506,10.100006,9.287506,10.850006,13.225006,10.600006,14.725006,11.100006,11.350006,7.600006,14.225006,8.975006,12.725006,7.725006,11.537506,9.287506,13.225006
January,1,5,10.537506,14.287506,13.787506,15.100006,11.412506,10.093964,12.787506,11.975006,9.912506,9.600006,10.475006,13.100006,10.787506,14.037506,11.162506,11.162506,7.475006,13.225006,8.350006,12.225006,7.350006,10.975006,9.225006,12.475006
January,1,6,10.475006,13.850006,14.037506,14.975006,10.850006,9.619873,12.725006,11.787506,9.725006,9.662506,9.975006,13.037506,10.412506,13.412506,10.725006,10.912506,7.100006,12.412506,8.162506,11.787506,7.100006,10.600006,8.787506,12.287506
January,1,7,10.537506,13.537506,14.100006,14.912506,10.787506,8.821808,12.662506,11.850006,9.412506,9.350006,10.037506,12.225006,9.975006,12.912506,10.162506,10.537506,6.975006,11.850006,7.912506,10.787506,6.287506,9.912506,8.537506,12.100006
January,1,8,10.412506,13.475006,14.100006,14.725006,10.350006,9.165924,12.600006,12.100006,9.037506,8.975006,9.787506,12.100006,9.537506,12.225006,9.912506,10.225006,6.725006,11.475006,7.725006,10.100006,5.725006,9.225006,8.225006,12.100006
January,1,9,9.162506,12.662506,13.600006,12.100006,8.475006,8.098297,11.350006,11.225006,6.975006,6.787506,9.725006,11.475006,8.912506,10.475006,9.662506,9.912506,6.600006,10.787506,6.975006,9.537506,4.412506,8.412506,7.850006,11.100006
